in:Different design for third layer,in:Different design for 1st layer,out:SURFACE AREA,out:Percentage of Members Failing,out:Strain Energy (stiffness),out:Deflection,out:Resulting force of gravity,img
0,0,36305.912346,0,1.741946,1.041171,135274.501932,Differentdesignforthirdlayer0_Differentdesignfor1stlayer0.png
1,0,28657.391433,0,1.054522,2.18699,119163.834991,Differentdesignforthirdlayer1_Differentdesignfor1stlayer0.png
2,0,34538.378613,0.014493,2426.241371,114.621549,153481.125065,Differentdesignforthirdlayer2_Differentdesignfor1stlayer0.png
0,1,44947.368331,0,1.743692,1.041171,164991.554988,Differentdesignforthirdlayer0_Differentdesignfor1stlayer1.png
1,1,37298.847418,0,1.056268,1.943625,148880.888047,Differentdesignforthirdlayer1_Differentdesignfor1stlayer1.png
2,1,43179.834598,0,1989.038107,48.559147,183198.178121,Differentdesignforthirdlayer2_Differentdesignfor1stlayer1.png
0,2,36291.165835,0,1.742819,1.041171,150133.02846,Differentdesignforthirdlayer0_Differentdesignfor1stlayer2.png
1,2,28642.644921,0,1.055395,1.943625,134022.361519,Differentdesignforthirdlayer1_Differentdesignfor1stlayer2.png
2,2,34523.632101,0,2438.041922,51.29394,168339.651593,Differentdesignforthirdlayer2_Differentdesignfor1stlayer2.png
0,3,74558.364266,0,12.107271,1.041171,182945.607876,Differentdesignforthirdlayer0_Differentdesignfor1stlayer3.png
1,3,66909.843353,0,11.419847,1.943625,166834.940935,Differentdesignforthirdlayer1_Differentdesignfor1stlayer3.png
2,3,72790.830533,0,1628.120041,48.559147,198056.704649,Differentdesignforthirdlayer2_Differentdesignfor1stlayer3.png
